PASSENGER_ID,PASSENGER_NAME,PASSPORT_NUMBER,NATIONALITY,PASSENGER_TYPE
1,Passenger_1,P10001,Germany,Business
2,Passenger_2,P10002,Singapore,Economy
3,Passenger_3,P10003,Singapore,Economy
4,Passenger_4,P10004,India,VIP
5,Passenger_5,P10005,USA,Business
6,Passenger_6,P10006,UAE,Business
7,Passenger_7,P10007,UK,Economy
8,Passenger_8,P10008,USA,VIP
9,Passenger_9,P10009,Germany,VIP
10,Passenger_10,P10010,Singapore,VIP
11,Passenger_11,P10011,UAE,Economy
12,Passenger_12,P10012,India,VIP
13,Passenger_13,P10013,USA,Business
14,Passenger_14,P10014,UAE,Business
15,Passenger_15,P10015,UK,Business
16,Passenger_16,P10016,UAE,VIP
17,Passenger_17,P10017,Singapore,VIP
18,Passenger_18,P10018,India,Business
19,Passenger_19,P10019,UK,VIP
20,Passenger_20,P10020,UK,Economy
21,Passenger_21,P10021,UK,Economy
22,Passenger_22,P10022,Singapore,VIP
23,Passenger_23,P10023,UK,Business
24,Passenger_24,P10024,USA,Economy
25,Passenger_25,P10025,India,VIP
26,Passenger_26,P10026,Canada,Economy
27,Passenger_27,P10027,Canada,VIP
28,Passenger_28,P10028,India,Economy
29,Passenger_29,P10029,UK,Business
30,Passenger_30,P10030,USA,VIP
31,Passenger_31,P10031,UAE,Business
32,Passenger_32,P10032,Singapore,Business
33,Passenger_33,P10033,USA,VIP
34,Passenger_34,P10034,Germany,Economy
35,Passenger_35,P10035,India,VIP
36,Passenger_36,P10036,Canada,VIP
37,Passenger_37,P10037,UK,Economy
38,Passenger_38,P10038,USA,Business
39,Passenger_39,P10039,Germany,Economy
40,Passenger_40,P10040,UAE,Economy
41,Passenger_41,P10041,USA,VIP
42,Passenger_42,P10042,USA,VIP
43,Passenger_43,P10043,Singapore,VIP
44,Passenger_44,P10044,Germany,VIP
45,Passenger_45,P10045,UK,Economy
46,Passenger_46,P10046,Germany,Economy
47,Passenger_47,P10047,UAE,Business
48,Passenger_48,P10048,India,VIP
49,Passenger_49,P10049,USA,Business
50,Passenger_50,P10050,India,VIP
51,Passenger_51,P10051,UAE,Economy
